month,2022,2023,2024,2025
jan,7667.264145,8475.455888,8501.523019,8555.098348
feb,8170.768757,9123.56976,8860.58352,9281.67807
mar,9042.604344,10471.505571,8806.948603,9970.339677
apr,7850.655323,8454.538877,9002.100791,9033.162535
may,9182.149765,9664.882977,9108.490747,9417.373209
jun,8870.32902,9744.336071,9090.46567,9298.197928
jul,7716.298186,8020.471682,8171.877244,8505.434908
aug,8300.496358,8461.711558,8043.810922,7873.667658
sep,9114.290411,9091.896911,9177.168575,9575.177907
oct,9583.236174,10024.552347,10524.349204,
nov,9675.843252,9472.324932,9844.178293,
dec,7612.12415,7441.611308,7648.946561,
